Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.10515"
"0.10000","0.00114","-0.04786"
"0.20000","0.00609","0.22517"
"0.30000","0.01022","0.02308"
"0.40000","0.01445","-0.26169"
"0.50000","0.01861","0.08574"
"0.60000","0.02277","0.16071"
"0.70000","0.02698","-0.05199"
"0.80000","0.03110","0.09542"
"0.90000","0.03530","-0.19742"
"1.00000","0.03943","0.05521"
"1.10000","0.04359","-0.09937"
"1.20000","0.04774","-0.23094"
"1.30000","0.05190","-0.01424"
"1.40000","0.05608","0.03187"
"1.50000","0.06028","0.13467"
"1.60000","0.06445","-0.12347"
"1.70000","0.06862","0.16207"
"1.80000","0.07279","0.06080"
"1.90000","0.07692","-0.07062"
"2.00000","0.08111","-0.18951"
"2.10000","0.08525","0.02419"
"2.20000","0.08944","0.02035"
"2.30000","0.09362","-0.05397"
"2.40000","0.09776","-0.35923"
"2.50000","0.10196","0.06914"
"2.60000","0.10612","-0.09077"
"2.70000","0.11029","-0.12536"
"2.80000","0.11446","-0.09936"
"2.90000","0.11858","-0.01233"
"3.00000","0.12276","-0.18504"
"3.10000","0.12691","-0.13647"
"3.20000","0.13108","0.05240"
"3.30000","0.13526","-0.20005"
"3.40000","0.13945","-0.08145"
"3.50000","0.14360","-0.05195"
"3.60000","0.14779","-0.04717"
"3.70000","0.15195","0.16632"
"3.80000","0.15610","0.23671"
"3.90000","0.16027","-0.12267"
"4.00000","0.16441","0.10203"
"4.10000","0.16858","0.04535"
"4.20000","0.17278","-0.07499"
"4.30000","0.17694","-0.03893"
"4.40000","0.18115","0.11402"
"4.50000","0.18530","-0.01694"
"4.60000","0.18943","-0.02074"
"4.70000","0.19359","-0.03437"
"4.80000","0.19771","-0.32282"
"4.90000","0.20191","0.24560"
"5.00000","0.20609","0.19563"
"5.10000","0.21026","-0.22747"
"5.20000","0.21443","-0.07812"
"5.30000","0.21862","0.01104"
"5.40000","0.22277","0.07469"
"5.50000","0.22696","0.18466"
"5.60000","0.23112","-0.05937"
"5.70000","0.23526","-0.09778"
"5.80000","0.23943","0.17260"
"5.90000","0.24357","-0.07840"
"6.00000","0.24776","0.30412"
"6.10000","0.25193","0.05179"
"6.20000","0.25613","0.27614"
"6.30000","0.26030","0.11507"
"6.40000","0.26445","0.09935"
"6.50000","0.26863","0.08033"
"6.60000","0.27277","-0.07947"
"6.70000","0.27692","0.06892"
"6.80000","0.28108","-0.11694"
"6.90000","0.28526","0.05192"
"7.00000","0.28939","0.10423"
"7.10000","0.29358","0.15478"
"7.20000","0.29776","0.37197"
"7.30000","0.30194","0.32665"
"7.40000","0.30615","0.33106"
"7.50000","0.31026","0.16402"
"7.60000","0.31445","0.03147"
"7.70000","0.31858","0.09280"
"7.80000","0.32276","0.40246"
